Sample No,Distance (Light),Distance (Dark),Be,Cr,Fe,Ni,Cu,As,Cd,Ba,Tl,Pb,U
1,8.875753809353725,9.174946187567965,0.0,0.06072245880858001,0.8002509645400196,0.07500503277056392,0.03610536070835099,0.0016937608010998315,0.0,0.013213052106649924,0.0,0.03854147802269628,8.075037443899107e-05
2,8.211520588828039,8.19521007177693,0.0,0.01647197038716959,0.0029401709713963563,0.09893071900381263,0.2707428531156358,0.0,0.02405107622685164,0.004391673584321621,0.0,0.457854076330374,0.0001940071168125373
3,9.398579932789033,9.518351664912355,0.0,0.0,0.025826141153571947,0.024999999999999998,0.00012205476544258117,0.004731204078399236,0.0,0.003347220545880663,0.0,0.0021400490607921753,0.0006291667857516959
4,9.476046178805701,9.614664422214245,0.0,0.0,0.028252518462368727,0.04105113636363636,0.0005826788367650181,0.1374911477018084,0.0,0.09375128155027493,0.0,0.00732555255425014,0.002149653184651628
6,8.832462198936327,9.200370501100776,0.20671285596478248,0.11170177895501018,0.07054301472816686,0.5030876361373011,0.09924105761584728,0.0020730562874602776,0.20127799361086532,0.1621834718260242,0.0,0.08718309899626557,0.0004440878383456304
7,9.5481871698836,9.764199750771876,0.0,0.0,0.0,0.0,0.02340479948092549,0.1878285662733674,0.0,0.0031679028686090517,0.0,0.020214574910662104,0.001659533821397142
8,9.161643516553355,9.608566041134443,0.0,0.971681888378917,0.0037898781995473444,0.0,0.01030258937870863,0.03676376144876144,0.0,0.002473960812892322,0.0,0.005299954773334603,0.08338876156276802
9,9.413627733887788,9.669530390562441,0.0,0.06249789772167554,0.0,0.0,0.013948545875476013,0.004969162830481877,0.03851133195739585,0.0012755454864394275,0.0,0.023307514022485595,0.003839427663952174
10,9.294510682288522,9.74455036290377,0.0,0.02261468293811507,0.7336562344380394,0.0,0.006101335713827573,0.019759022202063534,0.0,0.0066497070306974345,0.0,0.007442782150554091,0.0046272989904878395
11,7.739055136439521,7.911353575466927,0.25318454099560667,0.022142350436857056,0.0017923995464351268,0.03183469962120014,0.04015746303630058,0.0,0.015730000240484425,0.0014651600411795301,0.0,0.06310123375082176,0.00886835689196944
12,9.307331342550889,9.466023628952824,0.0,0.014655224489364486,0.9152491775604503,0.03103181283496222,0.002143367820304256,0.2304921315136806,0.0,0.3138678977957285,0.0,0.0012384046101150555,0.0014919856918605985
13,8.879650061358584,9.072282449101454,0.0,0.0,0.183594666803062,0.024147727272727276,0.025302483549140307,0.004545996801308874,0.02428327988140875,0.025807555513166852,0.0,0.0535012265198044,0.012329126912710002
14,8.303005535083546,8.459368641968986,0.0,0.0,0.0020651572282390615,0.03977272727272728,0.04856718318828274,0.04108234146368019,0.0,0.0,0.0,0.006584766340899002,0.013488954573312876
