Sample No,Distance (Light),Distance (Dark),Be,Cr,Fe,Ni,Cu,As,Cd,Ba,Tl,Pb,U
1,7156.33895,9652.248647,0,0.223409196,1096.628479,0.528035431,34.13847086,0.100597391,0,1.36187709,0,0.478250213,0.050824597
2,3683.13875,3623.552118,0,0.060603436,4.029080079,0.696472262,255.2139162,0,0.009904377,0.452652392,0,5.572585551,0.122108827
3,12071.2266,13607.16355,0,0,35.391,0.176,0.235,0.281,0,0.345,0,0.036,0.396
4,13043.51271,14982.89389,0,0,38.716,0.289,0.669,8.166,0,9.663,0,0.099,1.353
5,6314.452792,11545.98501,0.020337997,0,407.938826,0.290261554,4.060582802,717.9055848,0,5.453000897,0,0.509852443,0.341408354
6,6853.139853,9900.796635,0.057794452,0.410971577,96.66902304,3.541736958,93.62492449,0.123124855,0.082887482,16.7163463,0,1.06920963,0.279510597
7,14019.25709,17399.55223,0,0,0,0,22.17200207,11.155686,0,0.326517621,0,0.255592009,1.044516984
8,9524.69822,14891.80054,0,3.574998015,5.193481231,0,9.827099713,2.183506946,0,0.254992603,0,0.074390498,52.48520794
9,12254.24558,15827.91434,0,0.229941366,0,0,13.26231992,0.295133064,0.015859197,0.131471227,0,0.293168912,2.41655057
10,10878.14144,17060.99875,0,0.083203616,1005.37001,0,5.86867851,1.173545919,0,0.685389234,0,0.100424252,2.91243982
11,2296.301666,2728.080631,0.070787382,0.081465817,2.456224953,0.224116285,37.95636167,0,0.006477708,0.151014911,0,0.776632928,5.58177801
12,11018.50425,12913.43639,0,0.053919291,1254.216937,0.218463962,2.13948116,13.68959949,0,32.35054973,0,0.025045692,0.939061545
13,7184.27624,8710.482367,0,0,251.59,0.17,23.96,0.27,0.01,2.66,0,0.66,7.76
14,4035.984476,4719.077629,0,0,2.83,0.28,45.88,2.44,0,0,0,0.09,8.49
15,3627.226957,3713.780834,0,0.3,13.32,1.13,333.37,1.08,0.03,0.69,0,0.76,210.81
16,5654.331661,4974.459243,0.18,0.09,16.86,5.52,376.2,1.57,0.24,8.51,0.03,0.31,42.58
17,5159.98148,6071.203319,0,0,0,0.979302501,75.71633071,5.261961897,0.00681643,3.161820555,0,4.066992576,629.4038544
18,1800.63373,1817.18324,0.279588088,0.389245703,67.25678274,5.879227547,765.9221182,2.19959971,0.411805985,103.070591,0.100835421,4.741570617,15.42552338
19,3487.60955,4242.034533,0,0.08,3.32,1.43,341.19,1.45,0.03,0,0,9.6,9.91
20,3853.125388,4373.018889,0,0,2.84,0.28,38.24,0,0,0.21,0,1.89,0.26
21,5012.316069,6289.409351,0.47,0,81.13,6.82,31.31,0.07,0.19,131.78,0.29,0.38,0.03
22,4231.768485,4712.838313,0.097660343,0.197391493,4.229439039,0.940619582,197.0723446,2.85083699,0.017815725,2.276652392,0,0.713159074,4.941914325
23,2184.17272,1945.270787,0,0.07,0,5.67,942.32,0.43,0.04,23.48,0.02,8.16,14.5
24,3012.49703,7214.189353,0,0,10.72,1.27,2,25,0,0.16,0,0.09,4.4
25,4370.774507,3875.323908,0,0,24.4684275,4.698642424,47.68237102,59.39291465,0,0.08872985,0,0.17433998,2.13392066
26,3701.80746,6596.40656,0,0,0,0.549256658,4.916224753,0.743731245,0,0.13680616,0,0.076163058,0.008180453
27,2308.116774,2282.414331,0,0.098485491,2.485906983,3.939101691,805.1638308,1.268251892,0.050832874,50.8680379,0.005407871,2.012742722,4.190964775
28,3844.302962,6188.018095,0,0.303080149,0,1.419490468,24.27499736,0.963422391,0,0.024696104,0,0.135504464,81.01112999
